# k   E(k)  (von Kármán calibrated)
5.454153912482279338e+02 6.511527635064075130e-10
7.060337820567611971e+02 1.761824283990816474e-09
8.666521728652944603e+02 3.820199060541277268e-09
1.027270563673827837e+03 7.142297947534798499e-09
1.187888954482360987e+03 1.199920037143863777e-08
1.348507345290894136e+03 1.858672742852605339e-08
1.509125736099427513e+03 2.700648569517316098e-08
1.669744126907960890e+03 3.725909665382917277e-08
1.830362517716494040e+03 4.924852978661887672e-08
1.990980908525027189e+03 6.279513264351024291e-08
2.151599299333560339e+03 7.765431015652507248e-08
2.312217690142093943e+03 9.353778161691946665e-08
2.472836080950627093e+03 1.101347683702677130e-07
2.633454471759160242e+03 1.271311372281405647e-07
2.794072862567693846e+03 1.442252632590410822e-07
2.954691253376226996e+03 1.611400499451469355e-07
3.115309644184760145e+03 1.776310801490806408e-07
3.275928034993293295e+03 1.934912422671891049e-07
3.436546425801826445e+03 2.085523911313624115e-07
3.597164816610360049e+03 2.226846907661979716e-07
3.757783207418893198e+03 2.357942811346253393e-07
3.918401598227426348e+03 2.478198473730040666e-07
4.079019989035959952e+03 2.587285758507911336e-07
4.239638379844493102e+03 2.685118774967120777e-07
4.400256770653026251e+03 2.771811589549858303e-07
4.560875161461559401e+03 2.847638341421142893e-07
4.721493552270092550e+03 2.912996961658859270e-07
4.882111943078625700e+03 2.968377128992889658e-07
5.042730333887159759e+03 3.014332675627737847e-07
5.203348724695692908e+03 3.051458363569777861e-07
5.363967115504226058e+03 3.080370761043542789e-07
5.524585506312759208e+03 3.101692836679606767e-07
5.685203897121292357e+03 3.116041835471395469e-07
5.845822287929825507e+03 3.124019987755576733e-07
6.006440678738358656e+03 3.126207616949763030e-07
6.167059069546891806e+03 3.123158243026391272e-07
6.327677460355424955e+03 3.115395319050661806e-07
6.488295851163959014e+03 3.103410282169541305e-07
6.648914241972492164e+03 3.087661644583905004e-07
6.809532632781025313e+03 3.068574891973940732e-07
6.970151023589558463e+03 3.046542995254536021e-07
7.130769414398091612e+03 3.021927375768974747e-07
7.291387805206624762e+03 2.995059193902157763e-07
7.452006196015157911e+03 2.966240856720840231e-07
7.612624586823691970e+03 2.935747661916991515e-07
7.773242977632225120e+03 2.903829513424694971e-07
7.933861368440758270e+03 2.870712659021259010e-07
8.094479759249291419e+03 2.836601412431468647e-07
8.255098150057823659e+03 2.801679832329952477e-07
8.415716540866356809e+03 2.766113338547014589e-07
